0,1,2,3,4,5,6
complex,dct1,17,0.001,,0.34175675429995417,0.004983205034359459
complex,dct2,17,0.001,,0.3772289172623362,0.006038116254559698
complex,dct3,17,0.001,,0.4457154352759066,0.003196106451306293
complex,gem,17,0.001,,1.3638299524315819e-21,3.686494820889432e-20
complex,glove,17,0.001,,0.08527757542533705,0.001687268206598523
complex,laser,17,0.001,,0.00585960165108205,0.00014861159364521322
complex,random,17,0.001,,0.2713081212322412,0.003930433694856942
complex,sentbert,17,0.001,,0.4546599295906718,0.0033420638108561545
conve,dct1,17,0.001,,0.3414738716784676,0.005001037710771113
conve,dct2,17,0.001,,0.3772096582034827,0.006067221921736655
conve,dct3,17,0.001,,0.4459918716461833,0.003211742660877454
conve,gem,17,0.001,,1.5692291518985521e-21,4.2551886137703656e-20
conve,glove,17,0.001,,0.08392003988515873,0.0016773513680635797
conve,laser,17,0.001,,0.004291998926636606,8.829249002626311e-05
conve,random,17,0.001,,0.27136270419010544,0.00393511592214683
conve,sentbert,17,0.001,,0.4550194475648936,0.003350297123666513
distmult,dct1,17,0.001,,0.3417853160842963,0.004978193059922417
distmult,dct2,17,0.001,,0.377242563819062,0.006037827313665115
distmult,dct3,17,0.001,,0.4457367198807619,0.0031912183361892115
distmult,gem,17,0.001,,1.4139474457967391e-21,3.8564781163941774e-20
distmult,glove,17,0.001,,0.08530103095621214,0.0016821345039105045
distmult,laser,17,0.001,,0.005912981159225959,0.00015565543089552785
distmult,random,17,0.001,,0.2713059007651931,0.003928482690086674
distmult,sentbert,17,0.001,,0.4546514243019264,0.0033429965189093022
rescal,dct1,17,0.001,,0.3415911211030302,0.004995008079586525
rescal,dct2,17,0.001,,0.37723968028867405,0.006049977122255517
rescal,dct3,17,0.001,,0.44586291318972865,0.0031999135766242024
rescal,gem,17,0.001,,1.4767227458723107e-21,4.0125113818214165e-20
rescal,glove,17,0.001,,0.08458978880292113,0.0016741137532831198
rescal,laser,17,0.001,,0.00511022015137971,0.00011731705879913943
rescal,random,17,0.001,,0.2713319444222756,0.003932012491011529
rescal,sentbert,17,0.001,,0.4548353139319356,0.0033456011077597917
rotate,dct1,17,0.001,,0.34167591643164513,0.00498594591659335
rotate,dct2,17,0.001,,0.37718684481947146,0.0060519846887222535
rotate,dct3,17,0.001,,0.4457906078130717,0.0031939490331899627
rotate,gem,17,0.001,,1.420358151050935e-21,3.867549354427033e-20
rotate,glove,17,0.001,,0.0848668703720673,0.0016836919761530405
rotate,laser,17,0.001,,0.0054108909809522775,0.00013168100323948
rotate,random,17,0.001,,0.27132277053882276,0.00393061568781004
rotate,sentbert,17,0.001,,0.4547635480896488,0.003345801866428998
transe,dct1,17,0.001,,0.34155840292022976,0.004982692761464984
transe,dct2,17,0.001,,0.37723227955003885,0.006045410642736997
transe,dct3,17,0.001,,0.4458492895418407,0.003193323134537255
transe,gem,17,0.001,,1.5327715882468e-21,4.230284894642064e-20
transe,glove,17,0.001,,0.08477623283310222,0.00168207478148625
transe,laser,17,0.001,,0.005264967769108914,0.00012747480549124202
transe,random,17,0.001,,0.2713278380021741,0.003932562407576472
transe,sentbert,17,0.001,,0.4547941574429802,0.003347551821951888
